,Station,General,North_Lati,West_Longi,Distance from station 36,utm_x,utm_y
105,CHC16DXA,,,,,545332.8961013278,4206984.881745872
106,CHC16MFD,,,,,545383.559781306,4207030.655379847
107,CHC16SPD,,,,,545683.2896981974,4207278.650583798
108,CHC16DX2,,,,,545339.8759459881,4206992.687462744
109,CHC16CRD,,,,,544951.7207592237,4206919.751639112
110,CHC16CHT,,,,,554830.6007491704,4209903.755189428
111,CHC16MFT,,,,,545683.2896981974,4207278.650583798
112,CHC16M2M,,,,,548492.8200502874,4211105.029354816
113,CHC16M2T,,,,,548517.3287849813,4211070.889032539
114,CHC16MLT,,,,,548488.9590567412,4211083.852733472
115,CHC16N1T,,,,,548493.955965217,4214409.4886665335
116,CHC16S1T,,,,,547011.7636790827,4207431.654489309
117,CHC16LSS,,,,,545229.7209876258,4207036.459431333
118,CHC16TDL,,,,,545219.4113332377,4207027.525805663
119,SPA14N2M,,,,,549819.6297557111,4212096.339383456
120,SPA14N2T,,,,,549819.3672361734,4212096.226820984
121,SPA14S1T,,,,,547018.454301332,4207428.364291365
122,SPA14N1T,,,,,548501.3834906183,4214399.435633041
123,SPB14N1T,,,,,548475.1133032771,4214421.692961779
124,SPB14N2M,,,,,550015.9701709916,4211526.1046159845
125,SPB14N2T,,,,,549981.712644666,4211518.016546973
126,SPB14S1T,,,,,546990.3518098202,4207430.31072934
127,SPC14N1T,,,,,548524.8390695585,4214393.250637138
128,SPC14N2M,,,,,549887.4452292663,4212183.079788821
129,SPC14N2T,,,,,549887.4452292663,4212183.079788821
130,SPC14S1T,,,,,546984.3267441398,4207424.728204441
131,SPD15N1T,,,,,548477.2783494921,4214411.608600954
132,SPD15N2T,,,,,549978.4935090991,4211513.558478813
133,SPD15S1T,,,,,546987.0601281534,4207422.635744114
134,ERO19PCT,,,,,554534.6655541053,4209799.689537243
135,ERO19PBM,,,,,553399.4438641989,4215269.030557938
136,ERO19PHT,,,,,553397.8054187252,4215224.635842202
137,ERO19PST,,,,,553230.7217699519,4214769.716507377
138,ERO19GBM,,,,,584089.6871158946,4219199.018321801
139,ERO19GHT,,,,,584082.8670139385,4219163.326505026
140,ERO19GST,,,,,583631.1162547681,4218914.426085889
141,I_Spring_P1,,,,,571905.9113664203,4160351.766621277
142,I_Spring_P2,,,,,573131.5034071857,4160346.9507610234
143,I_Spring_P3,,,,,567858.7161963651,4160104.62799196
144,I_Spring_P4b,,,,,571946.9494208894,4157451.751273807
145,I_Winter_P1,,,,,571924.4328588769,4160354.146356729
146,I_Winter_P2,,,,,573131.5034071857,4160346.9507610234
147,I_Winter_P3,,,,,567858.7161963651,4160104.62799196
148,I_Winter_P4b,,,,,571953.1125928452,4157454.0237993444
149,I_Summer_P1,,,,,571927.9548037348,4160355.2864603065
150,I_Summer_P2,,,,,573131.5034071857,4160346.9507610234
151,I_Summer_P3,,,,,567858.7161963651,4160104.62799196
152,I_Summer_P4a,,,,,569587.1231446558,4160264.3016799456
153,I_Edens_Landing,,,,,565150.025,4165573.093
154,I_Hunters_Point,,,,,554445.096,4172810.37
155,I_Richmond,,,,,550271.981,4199565.911
156,I_Petaluma,,,,,550062.468,4208031.705
157,Alcatraz_Island,,,,,550895.207,4186802.757
158,Alviso_Slough,,,,,588609.404,4144155.718
159,Benicia_Bridge,,,,,576727.633,4211168.734
160,Carquinez_Bridge,,,,,568035.447,4212910.181
161,Channel_Marker_01,,,,,549795.096,4210898.171
162,Channel_Marker_09,,,,,548985.668,4215793.98
163,Channel_Marker_17,,,,,581588.298,4148399.026
164,Corte_Madera_Creek,,,,,542639.002,4199638.76
165,Dumbarton_Bridge,,,,,577828.885,4151167.767
166,Golden_Gate_Bridge,,,,,546500.586,4185790.461
167,Mallard_Island,,,,,594840.467,4211112.642
168,Mare_Island,,,,,563679.08,4218392.274
169,Point_San_Pablo,,,,,550215.074,4202054.975
170,Richmond_Bridge,,,,,548648.44,4198778.511
171,San_Mateo_Bridge,,,,,566242.864,4159974.396
