,time,SSC (mg/L)
117,1995-01-26 00:00:00.000,81.77083333333333
118,1995-01-27 00:00:00.000,75.03125
119,1995-01-28 00:00:00.000,85.36458333333333
120,1995-01-29 00:00:00.000,76.27083333333333
121,1995-01-30 00:00:00.000,68.59375
122,1995-01-31 00:00:00.000,62.864583333333336
123,1995-02-01 00:00:00.000,60.84375
124,1995-02-02 00:00:00.000,53.270833333333336
125,1995-02-03 00:00:00.000,47.46478873239437
126,1995-02-04 00:00:00.000,47.947916666666664
127,1995-02-05 00:00:00.000,46.635416666666664
128,1995-02-06 00:00:00.000,55.416666666666664
129,1995-02-07 00:00:00.000,64.59375
130,1995-02-08 00:00:00.000,56.177083333333336
131,1995-02-09 00:00:00.000,46.729166666666664
132,1995-02-10 00:00:00.000,43.375
133,1995-02-11 00:00:00.000,39.822916666666664
134,1995-02-12 00:00:00.000,37.427083333333336
135,1995-02-13 00:00:00.000,35.28409090909091
136,1995-02-14 00:00:00.000,33.708333333333336
137,1995-02-15 00:00:00.000,30.635416666666668
138,1995-02-16 00:00:00.000,30.66315789473684
139,1995-02-17 00:00:00.000,31.145833333333332
140,1995-02-18 00:00:00.000,29.614583333333332
141,1995-02-19 00:00:00.000,28.125
142,1995-02-20 00:00:00.000,26.760416666666668
143,1995-02-21 00:00:00.000,25.5625
144,1995-02-22 00:00:00.000,24.085106382978722
145,1995-02-23 00:00:00.000,22.25
146,1995-02-24 00:00:00.000,20.625
147,1995-02-25 00:00:00.000,21.385416666666668
148,1995-02-26 00:00:00.000,21.770833333333332
149,1995-02-27 00:00:00.000,22.03125
150,1995-02-28 00:00:00.000,23.1875
151,1995-03-01 00:00:00.000,24.395833333333332
152,1995-03-02 00:00:00.000,24.833333333333332
153,1995-03-03 00:00:00.000,24.645833333333332
154,1995-03-04 00:00:00.000,21.5
155,1995-03-05 00:00:00.000,19.1875
156,1995-03-06 00:00:00.000,16.8
157,1995-03-07 00:00:00.000,15.305882352941177
158,1995-03-08 00:00:00.000,13.950819672131148
159,1995-03-09 00:00:00.000,14.0
160,1995-03-10 00:00:00.000,30.5
161,1995-03-11 00:00:00.000,26.382978723404257
162,1995-03-12 00:00:00.000,82.3125
163,1995-03-13 00:00:00.000,171.19791666666666
164,1995-03-14 00:00:00.000,148.23958333333334
165,1995-03-15 00:00:00.000,104.40816326530613
166,1995-03-16 00:00:00.000,69.85365853658537
167,1995-03-17 00:00:00.000,59.135416666666664
168,1995-03-18 00:00:00.000,50.583333333333336
169,1995-03-19 00:00:00.000,52.03125
170,1995-03-20 00:00:00.000,59.21875
171,1995-03-21 00:00:00.000,50.489583333333336
172,1995-03-22 00:00:00.000,52.29347826086956
173,1995-03-23 00:00:00.000,49.51647826086956
174,1995-03-24 00:00:00.000,46.73947826086956
175,1995-03-25 00:00:00.000,43.96247826086956
176,1995-03-26 00:00:00.000,41.18547826086956
177,1995-03-27 00:00:00.000,38.40847826086956
178,1995-03-28 00:00:00.000,35.63147826086956
179,1995-03-29 00:00:00.000,32.854478260869556
180,1995-03-30 00:00:00.000,30.077478260869555
181,1995-03-31 00:00:00.000,27.433962264150942
182,1995-04-01 00:00:00.000,28.322916666666668
183,1995-04-02 00:00:00.000,26.583333333333332
184,1995-04-03 00:00:00.000,25.5625
185,1995-04-04 00:00:00.000,24.270833333333332
186,1995-04-05 00:00:00.000,23.041666666666668
187,1995-04-06 00:00:00.000,22.8125
188,1995-04-07 00:00:00.000,22.052083333333332
189,1995-04-08 00:00:00.000,21.239583333333332
190,1995-04-09 00:00:00.000,21.666666666666668
191,1995-04-10 00:00:00.000,24.586206896551722
192,1995-04-11 00:00:00.000,25.186206896551724
193,1995-04-12 00:00:00.000,25.786206896551725
194,1995-04-13 00:00:00.000,26.386206896551727
195,1995-04-14 00:00:00.000,26.986206896551728
196,1995-04-15 00:00:00.000,27.58620689655173
197,1995-04-16 00:00:00.000,28.18620689655173
198,1995-04-17 00:00:00.000,28.786206896551732
199,1995-04-18 00:00:00.000,29.386206896551734
200,1995-04-19 00:00:00.000,29.986206896551735
201,1995-04-20 00:00:00.000,31.3125
202,1995-04-21 00:00:00.000,30.208333333333332
203,1995-04-22 00:00:00.000,29.5
204,1995-04-23 00:00:00.000,29.052083333333332
205,1995-04-24 00:00:00.000,28.604166666666668
206,1995-04-25 00:00:00.000,31.520833333333332
207,1995-04-26 00:00:00.000,32.5
208,1995-04-27 00:00:00.000,32.895833333333336
209,1995-04-28 00:00:00.000,32.166666666666664
210,1995-04-29 00:00:00.000,33.302083333333336
211,1995-04-30 00:00:00.000,30.548387096774192
212,1995-05-01 00:00:00.000,30.410526315789475
213,1995-05-02 00:00:00.000,30.291666666666668
214,1995-05-03 00:00:00.000,35.75
215,1995-05-04 00:00:00.000,42.927083333333336
216,1995-05-05 00:00:00.000,72.94791666666667
217,1995-05-06 00:00:00.000,60.458333333333336
218,1995-05-07 00:00:00.000,49.885416666666664
219,1995-05-08 00:00:00.000,43.833333333333336
220,1995-05-09 00:00:00.000,39.50033333333334
221,1995-05-10 00:00:00.000,35.16733333333334
222,1995-05-11 00:00:00.000,30.784313725490197
223,1995-05-12 00:00:00.000,31.645833333333332
224,1995-05-13 00:00:00.000,31.15625
225,1995-05-14 00:00:00.000,30.3125
226,1995-05-15 00:00:00.000,30.270833333333332
227,1995-05-16 00:00:00.000,29.625
228,1995-05-17 00:00:00.000,28.760416666666668
229,1995-05-18 00:00:00.000,28.104166666666668
230,1995-05-19 00:00:00.000,26.97590361445783
231,1995-05-20 00:00:00.000,27.15490361445783
232,1995-05-21 00:00:00.000,27.333903614457828
233,1995-05-22 00:00:00.000,27.512903614457827
234,1995-05-23 00:00:00.000,27.691903614457825
235,1995-05-24 00:00:00.000,27.870903614457823
236,1995-05-25 00:00:00.000,28.049903614457822
237,1995-05-26 00:00:00.000,28.22890361445782
238,1995-05-27 00:00:00.000,28.40790361445782
239,1995-05-28 00:00:00.000,28.586903614457817
240,1995-05-29 00:00:00.000,28.765903614457816
241,1995-05-30 00:00:00.000,28.944903614457814
242,1995-05-31 00:00:00.000,29.123903614457813
243,1995-06-01 00:00:00.000,29.30290361445781
244,1995-06-02 00:00:00.000,29.48190361445781
245,1995-06-03 00:00:00.000,29.66090361445781
246,1995-06-04 00:00:00.000,29.839903614457807
247,1995-06-05 00:00:00.000,30.018903614457805
248,1995-06-06 00:00:00.000,30.197903614457804
249,1995-06-07 00:00:00.000,30.376903614457802
250,1995-06-08 00:00:00.000,30.5559036144578
251,1995-06-09 00:00:00.000,30.7349036144578
252,1995-06-10 00:00:00.000,30.913903614457798
253,1995-06-11 00:00:00.000,31.092903614457796
254,1995-06-12 00:00:00.000,31.271903614457795
255,1995-06-13 00:00:00.000,31.450903614457793
256,1995-06-14 00:00:00.000,31.629903614457792
257,1995-06-15 00:00:00.000,31.80890361445779
258,1995-06-16 00:00:00.000,32.44642857142857
259,1995-06-17 00:00:00.000,32.833333333333336
260,1995-06-18 00:00:00.000,30.739583333333332
261,1995-06-19 00:00:00.000,29.364583333333332
262,1995-06-20 00:00:00.000,27.57894736842105
263,1995-06-21 00:00:00.000,25.239583333333332
264,1995-06-22 00:00:00.000,25.15625
265,1995-06-23 00:00:00.000,25.810526315789474
266,1995-06-24 00:00:00.000,25.96875
267,1995-06-25 00:00:00.000,27.0
268,1995-06-26 00:00:00.000,29.177083333333332
269,1995-06-27 00:00:00.000,32.822916666666664
270,1995-06-28 00:00:00.000,34.572916666666664
271,1995-06-29 00:00:00.000,35.666666666666664
272,1995-06-30 00:00:00.000,38.052083333333336
273,1995-07-01 00:00:00.000,40.96875
274,1995-07-02 00:00:00.000,39.31428571428572
275,1995-07-03 00:00:00.000,39.702127659574465
276,1995-07-04 00:00:00.000,38.458333333333336
277,1995-07-05 00:00:00.000,36.614583333333336
278,1995-07-06 00:00:00.000,37.260416666666664
279,1995-07-07 00:00:00.000,38.78947368421053
280,1995-07-08 00:00:00.000,38.38947368421053
281,1995-07-09 00:00:00.000,37.98947368421053
282,1995-07-10 00:00:00.000,37.58947368421053
283,1995-07-11 00:00:00.000,37.18947368421053
284,1995-07-12 00:00:00.000,36.57446808510638
285,1995-07-13 00:00:00.000,39.229166666666664
286,1995-07-14 00:00:00.000,38.69318181818182
287,1995-07-15 00:00:00.000,38.0
288,1995-07-16 00:00:00.000,39.270833333333336
289,1995-07-17 00:00:00.000,37.552083333333336
290,1995-07-18 00:00:00.000,34.625
291,1995-07-19 00:00:00.000,33.552083333333336
292,1995-07-20 00:00:00.000,32.19230769230769
293,1995-07-21 00:00:00.000,32.0
294,1995-07-22 00:00:00.000,33.0
295,1995-07-23 00:00:00.000,33.0
296,1995-07-24 00:00:00.000,33.0
297,1995-07-25 00:00:00.000,33.0
298,1995-07-26 00:00:00.000,34.0
299,1995-07-27 00:00:00.000,34.0
300,1995-07-28 00:00:00.000,34.075471698113205
301,1995-07-29 00:00:00.000,36.916666666666664
302,1995-07-30 00:00:00.000,36.247058823529414
303,1995-07-31 00:00:00.000,35.59375
304,1995-08-01 00:00:00.000,37.15625
305,1995-08-02 00:00:00.000,35.5
306,1995-08-03 00:00:00.000,35.786
307,1995-08-04 00:00:00.000,36.072
308,1995-08-05 00:00:00.000,36.358000000000004
309,1995-08-06 00:00:00.000,36.644000000000005
310,1995-08-07 00:00:00.000,36.93000000000001
311,1995-08-08 00:00:00.000,37.21600000000001
312,1995-08-09 00:00:00.000,37.50200000000001
313,1995-08-10 00:00:00.000,37.78800000000001
